University,Faculty name,Year of BS,University BS,State BS,Country BS,Category US BS,Year of MS,University MS,State MS,Country MS,Category US MS,Year of Phd,University Phd,State Phd,Country Phd,Category US Phd,Year of PostDoc,University PostDoc,State PostDoc,Country PostDoc,Category US PstDoc,Year Asst. Prof,Area,Category Area,University Asst. Prof,Category University (Rank),Citation,,,,,,RAW Data,RAW Data,RAW Data,RAW Data,RAW Data,,,,,
Carnegie Mellon University,Brian Railing,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,R. Ravi,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Margaret Reid-Miller,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Kelly Rivers,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Roni Rosenfeld,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Stephanie Rosenthal,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Alexander Rudnicky,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Majd Sakr,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Bradley Schmerl,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Dana Scott,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Vyas Sekar,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Nihar Shah,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Justine Sherry,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Reid Simmons,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Mark Stehlik,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Klaus Sutner,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Michael Taylor,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,David Touretzky,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Rashmi Korlakai Vinayak,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Patrick Virtue,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Howard Wactlar,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Weina Wang,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Jeannette Wing,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,David Woodruff,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Jean Yang,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Albert Meyer,,Harvard University - USA,MA,USA,1,,Harvard University - USA,MA,USA,1,,Harvard University - USA,MA,USA,1,,,,,0,1969,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Alexandre Megretski,,,,,0,,Saint Petersburg State University - Russia,,Russia,0,,Saint Petersburg State University - Russia,,Russia,0,,,,,0,1999,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Anant Agarwal,,Indian Institute of Technology - Madras - India,,Madras - India,0,,,,,0,,Stanford University - USA,,USA,1,,,,,0,,Computer Education,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Arvind,,Indian Institute of Technology - Kanpur - India,,Kanpur - India,0,,University of Minnesota - Twin Cities - USA,,Twin Cities - USA,1,,University of Minnesota - Twin Cities - USA,,Twin Cities - USA,1,,,,,0,,Real-Time & Embedded Systems,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Asuman Ozdaglar,,Middle East Technical University - Ankara - Turkey,,Ankara - Turkey,0,,Massachusetts Institute of Technology - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,,,,0,2003,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Barbara Liskov,,University of California - Berkeley - USA,,Berkeley - USA,1,,Stanford University - USA,CA,USA,1,,Stanford University - USA,CA,USA,1,,,,,0,1972,Operating Systems,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Berthold Horn,,University of the Witwatersrand - South Africa,,South Africa,0,,Massachusetts Institute of Technology - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,,,,0,,Scientific Computing,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Bruce Tidor,,Harvard University - USA,MA,USA,1,,University of Oxford - United Kingdom,,United Kingdom,0,,Harvard University - USA,,USA,1,,,,,0,1994,Bioinformatics & Computational Biology,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Charles Leiserson,,Yale University - USA,Connecticut,USA,1,,,,,0,,Carnegie Mellon University - USA,,USA,1,,,,,0,1988,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Collin Stultz,,Harvard University - USA,MA,USA,1,,Harvard University - USA,MA,USA,1,,Harvard University - USA,MA,USA,1,,,,,0,,Hardware & Architecture,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Daniel Jackson,,,,,0,,University of Oxford - United Kingdom,,United Kingdom,0,,Massachusetts Institute of Technology - USA,,USA,1,,,,,0,1997,Software Engineering,7,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Daniela Rus,,,,,0,,,,,0,,Cornell University - USA,,USA,1,,,,,0,2008,Security & Privacy,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,David Gifford,,Massachusetts Institute of Technology - USA,MA,USA,1,,Stanford University - USA,CA,USA,1,,Stanford University - USA,CA,USA,1,,,,,0,1982,Bioinformatics & Computational Biology,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,David Karger,,Harvard University - USA,MA,USA,1,,University of Cambridge - United Kingdom,,United Kingdom,0,,Stanford University - USA,,USA,1,,Bell Laboratories - USA,,USA,1,1995,Human-Computer Interaction,,,1,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,David Perreault,,Boston University - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,,,,0,2001,Hardware & Architecture,,,1,,,,,,,,,,,,,,,,
